"x","y"
"1682812800000","29244.68"
"1682899200000","29264.14"
"1682985600000","28086.65"
"1683072000000","28678.29"
"1683158400000","29007.66"
"1683244800000","28851.84"
"1683331200000","29535.38"
"1683417600000","28903.41"
"1683504000000","28456.84"
"1683590400000","27691.41"
"1683676800000","27640.09"
"1683763200000","27617.14"
"1683849600000","26993.2"
"1683936000000","26803.05"
"1684022400000","26785.94"
"1684108800000","26926.17"
"1684195200000","27191.97"
"1684281600000","27036.39"
"1684368000000","27398.27"
"1684454400000","26833.27"
"1684540800000","26889.6"
"1684627200000","27124.48"
"1684713600000","26756.57"
"1684800000000","26849.97"
"1684886400000","27223.19"
"1684972800000","26327.38"
"1685059200000","26477.29"
"1685145600000","26719.74"
"1685232000000","26873.18"
"1685318400000","28082.7"
"1685404800000","27744.66"
"1685491200000","27704"
"1685577600000","27213.71"
"1685664000000","26814.77"
"1685750400000","27251.93"
"1685836800000","27073.27"
"1685923200000","27125.02"
"1686009600000","25747.2"
"1686096000000","27243.64"
"1686182400000","26352.2"
"1686268800000","26507.33"
"1686355200000","26483.52"
"1686441600000","25852.82"
"1686528000000","25933.06"
"1686614400000","25904.32"
"1686700800000","25921.42"
"1686787200000","25127.04"
"1686873600000","25575.69"
"1686960000000","26326.23"
"1687046400000","26509.82"
"1687132800000","26337.08"
"1687219200000","26848.8"
"1687305600000","28326.8"
"1687392000000","29992.98"
"1687478400000","29903.73"
"1687564800000","30692.8"
"1687651200000","30548.59"
"1687737600000","30458.97"
"1687824000000","30266.7"
"1687910400000","30699.11"
"1687996800000","30083.59"
"1688083200000","30449.16"
"1688169600000","30471.5"
"1688256000000","30591.53"
"1688342400000","30618.25"
"1688428800000","31150.92"
"1688515200000","30774.87"
"1688601600000","30502.55"
"1688688000000","29918.04"
"1688774400000","30344.53"
"1688860800000","30214.55"
"1688947200000","30214.55"
"1689033600000","30411.71"
"1689120000000","30622.7"
"1689206400000","30391.64"
"1689292800000","31485.37"
"1689379200000","30330.22"
"1689465600000","30291.67"
"1689552000000","30240.28"
"1689638400000","30144.2"
"1689724800000","29859.24"
"1689811200000","29912.48"
"1689897600000","29802.29"
"1689984000000","29907.88"
"1690070400000","29774.36"
"1690156800000","30081.88"
"1690243200000","29178.42"
"1690329600000","29226.18"
"1690416000000","29344.56"
"1690502400000","29213.94"
"1690588800000","29316.12"
"1690675200000","29359.89"
"1690761600000","29274.94"
"1690848000000","29228.49"
"1690934400000","29683.61"
"1691020800000","29152.45"
"1691107200000","29183.41"
"1691193600000","29075"
"1691280000000","29048.01"
"1691366400000","29041.01"
"1691452800000","29181.71"
"1691539200000","29768.29"
"1691625600000","29565.82"
"1691712000000","29433.98"
"1691798400000","29399.18"
"1691884800000","29412.84"
"1691971200000","29283.84"
"1692057600000","29413.8"
"1692144000000","29169.09"
"1692230400000","28701.48"
"1692316800000","26662.05"
"1692403200000","26047.05"
"1692489600000","26090.7"
"1692576000000","26189.99"
"1692662400000","26123.41"
"1692748800000","26036.91"
"1692835200000","26426.74"
"1692921600000","26165.4"
"1693008000000","26049.42"
"1693094400000","26006.44"
"1693180800000","26088.78"
"1693267200000","26108.31"
"1693353600000","27731.23"
"1693440000000","27301.12"
"1693526400000","25932.99"
"1693612800000","25802.1"
"1693699200000","25869.09"
"1693785600000","25969.05"
"1693872000000","25810.86"
"1693958400000","25785.3"
"1694044800000","25753.31"
"1694131200000","26243.47"
"1694217600000","25906.03"
"1694304000000","25894.31"
"1694390400000","25832.82"
"1694476800000","25162.7"
"1694563200000","25835.7"
"1694649600000","26227.98"
"1694736000000","26536.02"
"1694822400000","26605.75"
"1694908800000","26568.65"
"1694995200000","26536.54"
"1695081600000","26763.76"
"1695168000000","27222.12"
"1695254400000","27133.55"
"1695340800000","26569.6"
"1695427200000","26581.86"
"1695513600000","26580.72"
"1695600000000","26252.75"
"1695686400000","26293.29"
"1695772800000","26212.82"
"1695859200000","26357.65"
"1695945600000","27021.15"
"1696032000000","26916.91"
"1696118400000","26970.43"
"1696204800000","27983.92"
"1696291200000","27532.51"
"1696377600000","27430.23"
"1696464000000","27797.56"
"1696550400000","27416.69"
"1696636800000","27946.61"
"1696723200000","27973.26"
"1696809600000","27937.18"
"1696896000000","27581.42"
"1696982400000","27395.65"
"1697068800000","26867.79"
"1697155200000","26758.66"
"1697241600000","26866.51"
"1697328000000","26855.89"
"1697414400000","27167.87"
"1697500800000","28517.32"
"1697587200000","28413.17"
"1697673600000","28331.5"
"1697760000000","28723.49"
"1697846400000","29682.6"
"1697932800000","29921.68"
"1698019200000","29990.73"
"1698105600000","33059.98"
"1698192000000","33902.65"
"1698278400000","34493.19"
"1698364800000","34157.79"
"1698451200000","33911.08"
"1698537600000","34090.68"
"1698624000000","34532.39"
"1698710400000","34501"
"1698796800000","34662.16"
"1698883200000","35440.51"
"1698969600000","34934.65"
"1699056000000","34736.55"
"1699142400000","35088.05"
"1699228800000","35048.35"
"1699315200000","35035.12"
"1699401600000","35436.28"
"1699488000000","35629.52"
"1699574400000","36696.25"
"1699660800000","37321.65"
"1699747200000","37140.27"
"1699833600000","37058.98"
"1699920000000","36497.35"
"1700006400000","35545.97"
"1700092800000","37891.48"
"1700179200000","36155.5"
"1700265600000","36624.3"
"1700352000000","36588.13"
"1700438400000","37396.17"
"1700524800000","37479.96"
"1700611200000","35808.95"
"1700697600000","37427.42"
"1700784000000","37297.56"
"1700870400000","37720.5"
"1700956800000","37800.94"
"1701043200000","37468.89"
"1701129600000","37248.86"
"1701216000000","37832.75"
"1701302400000","37867.37"
"1701388800000","37711.79"
"1701475200000","38697.81"
"1701561600000","39476.4"
"1701648000000","39976.04"
"1701734400000","41985.55"
"1701820800000","44076.76"
"1701907200000","43745.3"
"1701993600000","43298.7"
"1702080000000","44184.18"
"1702166400000","43709.41"
"1702252800000","43787.81"
"1702339200000","41238.31"
"1702425600000","41458.49"
"1702512000000","42887.09"
"1702598400000","43023.24"
"1702684800000","41934.71"
"1702771200000","42236.81"
"1702857600000","41341.9"
"1702944000000","41264.8"
"1703030400000","42262.62"
"1703116800000","43639.9"
"1703203200000","43870.89"
"1703289600000","43996.78"
"1703376000000","43742.33"
"1703462400000","43013.46"
"1703548800000","43599.61"
"1703635200000","42514.79"
"1703721600000","43470.76"
"1703808000000","42609.23"
"1703894400000","42086.22"
"1703980800000","42148.38"
"1704067200000","42249.69"
"1704153600000","44176.26"
"1704240000000","44958.98"
"1704326400000","42854.95"
"1704412800000","44190.1"
"1704499200000","44181.1"
"1704585600000","43975.63"
"1704672000000","43928.07"
"1704758400000","46972.42"
"1704844800000","46143.31"
"1704931200000","46649.42"
"1705017600000","46355.63"
"1705104000000","42843.98"
"1705190400000","42837.18"
"1705276800000","41716.15"
"1705363200000","42497.78"
"1705449600000","43132.4"
"1705536000000","42742.78"
"1705622400000","41262.64"
"1705708800000","41620.04"
"1705795200000","41659.4"
"1705881600000","41557.6"
"1705968000000","39505.09"
"1706054400000","39856.34"
"1706140800000","40068.49"
"1706227200000","39925.5"
"1706313600000","41813.44"
"1706400000000","42124.31"
"1706486400000","42030.81"
"1706572800000","43274.65"
"1706659200000","42950.77"
"1706745600000","42557.22"
"1706832000000","43061.16"
"1706918400000","43183.04"
"1707004800000","42991.51"
"1707091200000","42576.16"
"1707177600000","42653.29"
"1707264000000","43080.9"
"1707350400000","44318.84"
"1707436800000","45312.45"
"1707523200000","47134.54"
"1707609600000","47771.36"
"1707696000000","48301.95"
"1707782400000","49958.35"
"1707868800000","49739.24"
"1707955200000","51821.86"
"1708041600000","51946.01"
"1708128000000","52172.07"
"1708214400000","51685.35"
"1708300800000","52128.57"
"1708387200000","51782.08"
"1708473600000","52269.58"
"1708560000000","51862.86"
"1708646400000","51303.43"
"1708732800000","50727.66"
"1708819200000","51559.99"
"1708905600000","51727.76"
"1708992000000","54529.54"
"1709078400000","57075.01"
"1709164800000","62498.79"
"1709251200000","61172.49"
"1709337600000","62437"
"1709424000000","62033.66"
"1709510400000","63168.4"
"1709596800000","68377.67"
"1709683200000","63797.73"
"1709769600000","66102.23"
"1709856000000","66937"
"1709942400000","68306.9"
"1710028800000","68499.42"
"1710115200000","69026.97"
"1710201600000","72121.18"
"1710288000000","71489.22"
"1710374400000","73094.37"
"1710460800000","71394.36"
"1710547200000","69495.88"
"1710633600000","65303.67"
"1710720000000","68358.87"
"1710806400000","67601.19"
"1710892800000","61919.44"
"1710979200000","67857.18"
"1711065600000","65493.16"
"1711152000000","63795.46"
"1711238400000","64083.37"
"1711324800000","67226.33"
"1711411200000","69962.76"
"1711497600000","69991.48"
"1711584000000","69446.79"
"1711670400000","70754.69"
"1711756800000","69909.85"
"1711843200000","69650.74"
"1711929600000","71331.84"
"1712016000000","69701.3"
"1712102400000","65446.52"
"1712188800000","65983.59"
"1712275200000","68526.59"
"1712361600000","67857.42"
"1712448000000","68909.59"
"1712534400000","69373.69"
"1712620800000","71645.91"
"1712707200000","69141.75"
"1712793600000","70561.73"
"1712880000000","70035.8"
"1712966400000","67198.84"
"1713052800000","64019.74"
"1713139200000","65734.62"
"1713225600000","63435.81"
"1713312000000","63820.92"
"1713398400000","61280.51"
"1713484800000","63507.69"
"1713571200000","63823.55"
"1713657600000","64991.71"
"1713744000000","64949.79"
"1713830400000","66844.74"
"1713916800000","66416.37"
"1714003200000","64271.73"
"1714089600000","64486.29"
"1714176000000","63749.7"
"1714262400000","63420.25"
